Keyword,CosineOverlap
abortion,0.0
border,0.27511680126190186
capitalism,0.0
climate_change,0.0
crime,0.29639890789985657
democracy,0.27139735221862793
education,0.3989901542663574
economy,0.3021380603313446
equality,0.4240323603153229
environment,0.0
freedom,0.3779522180557251
gas,0.2777702808380127
gun,0.0
healthcare,0.1905648410320282
immigrant,0.0
immigration,0.0
inflation,0.0
job,0.2719777226448059
justice,0.0
medicare,0.0
military,0.4400947093963623
patriotism,0.42656707763671875
police,0.0
racism,0.0
right,0.405333012342453
security,0.0
social_security,0.3104438781738281
tax,0.0
terrorism,0.0
truth,0.4045727849006653
veteran,0.43075665831565857
voting_right,0.0
