Keyword,Party,Neighbor,Similarity
abortion,Democrat,constitutional_right,0.8586189150810242
abortion,Democrat,constitutionally_protected,0.8291637301445007
abortion,Democrat,reproductive,0.8184251189231873
abortion,Democrat,reproductive_health,0.8116317391395569
abortion,Democrat,reproductive_rights,0.7955108880996704
abortion,Democrat,ballot,0.7912328243255615
abortion,Democrat,restricting,0.7781227231025696
abortion,Democrat,constitutionally-protected,0.7640889883041382
abortion,Democrat,#_roevwade,0.7616963386535645
abortion,Democrat,basic_right,0.7574542164802551
abortion,Republican,hyde_amendment,0.7574470639228821
abortion,Republican,late-term,0.7308332920074463
abortion,Republican,procedure,0.7301793098449707
abortion,Republican,#_hydesaveslives,0.7222239971160889
abortion,Republican,fund_abortions,0.717563271522522
abortion,Republican,american_taxpayers,0.71515953540802
abortion,Republican,baby,0.7106124758720398
abortion,Republican,discrimination,0.709554135799408
abortion,Republican,conscience,0.7075124382972717
abortion,Republican,penalty,0.7020977735519409
border,Democrat,border_communities,0.7219176292419434
border,Democrat,southern_border,0.6970545649528503
border,Democrat,military_bases,0.6902259588241577
border,Democrat,toxic_chemicals,0.6830929517745972
border,Democrat,transatlantic,0.6771571636199951
border,Democrat,financial_institution,0.6756918430328369
border,Democrat,evolving,0.6688293814659119
border,Democrat,depts,0.6655137538909912
border,Democrat,security_challenges,0.6642047762870789
border,Democrat,pnsy,0.6641861796379089
border,Republican,southern_border,0.8901821970939636
border,Republican,our_southern,0.8374738693237305
border,Republican,#_bidenbordercrisis,0.770222544670105
border,Republican,crisis_at,0.7346887588500977
border,Republican,migrant,0.7332531213760376
border,Republican,border_crisis,0.7195377349853516
border,Republican,southwest_border,0.7066597938537598
border,Republican,u.s.-mexico_border,0.6973949670791626
border,Republican,illegal_immigration,0.6968140006065369
border,Republican,crossing,0.6882708668708801
capitalism,Democrat,solar_power,0.917390763759613
capitalism,Democrat,banker,0.9060860872268677
capitalism,Democrat,button,0.9039424657821655
capitalism,Democrat,uranium,0.901479184627533
capitalism,Democrat,centered,0.8991775512695312
capitalism,Democrat,powered_by,0.8984163403511047
capitalism,Democrat,skyrocket,0.8980863094329834
capitalism,Democrat,#_presidentialaddress,0.8979025483131409
capitalism,Democrat,wildly,0.8973631262779236
capitalism,Democrat,destroys,0.8945612907409668
capitalism,Republican,tight,0.9552499651908875
capitalism,Republican,non-starter,0.9535144567489624
capitalism,Republican,mix,0.9526359438896179
capitalism,Republican,fantasy,0.9509828090667725
capitalism,Republican,default,0.9505397081375122
capitalism,Republican,punch,0.950424313545227
capitalism,Republican,inflating,0.9501148462295532
capitalism,Republican,summed_up,0.9490891098976135
capitalism,Republican,controversy,0.9487490057945251
capitalism,Republican,somehow,0.9486575126647949
climate_change,Democrat,climate_crisis,0.8592079877853394
climate_change,Democrat,#_climatecrisis,0.8586497902870178
climate_change,Democrat,climate_chaos,0.809946596622467
climate_change,Democrat,#_climatechange,0.7545524835586548
climate_change,Democrat,drought,0.7388073205947876
climate_change,Democrat,extreme_weather,0.7248663306236267
climate_change,Democrat,our_planet,0.7238410711288452
climate_change,Democrat,effects_of,0.7228466868400574
climate_change,Democrat,existential_threat,0.7217766642570496
climate_change,Democrat,an_existential,0.7144940495491028
climate_change,Republican,energy_policy,0.8827159404754639
climate_change,Republican,unleash,0.8735620379447937
climate_change,Republican,traditional_energy,0.861613929271698
climate_change,Republican,an_all-of-the-above,0.8604041934013367
climate_change,Republican,fossil_fuel,0.8567908406257629
climate_change,Republican,oil_production,0.8506991267204285
climate_change,Republican,should_focus,0.8500088453292847
climate_change,Republican,out-of-control_spending,0.8479677438735962
climate_change,Republican,doubling,0.8401766419410706
